Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
89Re3mmGh6Y,Whirlpool made in Blender,"Apr 22, 2022",,,,24,0
8_IdgHuQ9q0,One side of the holo wave tank,"Jan 30, 2022",,,,30,0
8sxSDmjbv2Q,Shoreline Vesselless Cargo,"Sep 14, 2022",,,,18,0
90cGK8IuS0s,Holofan wave power attenuators,"Jan 30, 2023",,,,5,0
9uBg3QnN8YU,SketchUp kitchen sink OWC,"Nov 8, 2022",,,,25,0
9uQmDSG-xnY,Decorative garden wave energy,"Dec 13, 2022",,,,6,0
9wcfiDul600,Vesselless Cargo docks,"Aug 1, 2022",,,,6,0
AA1QTB69ySw,Moving objects with water shaping,"Aug 31, 2022",,,,17,0
AEQ7dIWoQEc,Water shaping network in surf pools,"Sep 20, 2022",,,,2,0
AtOxhhLpiNw,ANSYS wave sim,"Oct 8, 2022",,,,7,0
AtWsTdB--Dk,Vesselless Cargo moving through canal,"Jun 30, 2022",,,,5,0
BHipksR6ZyA,Vesselless cargo design in Blender,"May 13, 2022",,,,9,0
BVpyHO-z-Kc,Adapting WECs for the kitchen,"Dec 12, 2022",,,,4,0
BYURrDGO7mU,Laundry tub attenuator,"Aug 17, 2022",,,,49,0
CGeUBJuGvDI,Quick Water Shaping Simulation,"Mar 14, 2022",,,,2,0
CGp84LVFcq4,Vesselless Cargo island to port,"Sep 28, 2022",,,,3,0
CQWFGbqetFs,Wave Washer,"Feb 15, 2022",,,,2,0
Cg4JvFFtWu4,"Attenuators for fish pond, hot tub and pool","Nov 24, 2022",,,,3,0
D-ZSLecM8dY,No more pretty NFTs,"Apr 9, 2022",,,,1,0
D40e4da04ck,Surfing the holowaves,"Feb 21, 2023",,,,21,0
D8wb6p73nmA,Fountain WECs,"Nov 28, 2022",,,,9,0
DD4mA4U3C3A,SolidWorks Vesselless Cargo,"Oct 5, 2022",,,,10,0
DMt4piI8aig,Vesselless Cargo port,"Jun 29, 2022",,,,1,0
DWl4329BvlM,SketchUp Liquid Coil & Magnet,"Jul 20, 2022",,,,2,0
DrHEwxU9fHs,Behind holosurfing,"May 21, 2023",,,,48,0
DrNapjy2e2A,Wave power throughout the home,"Feb 9, 2022",,,,3,0
EAcS0dAY1lM,Vesselless Cargo summary,"Nov 16, 2021",,,,15,0
EC1qlM27BaU,SketchUp Water Dark Blue,"Feb 3, 2022",,,,4,0
ELznPa5rJy8,Sensing Water in Sink - Handmade waves,"Oct 10, 2021",,,,12,0
Esq4tAz_zT8,Water Shaping Digitally Paddle Wheel,"Oct 10, 2021",,,,1,0
F3qJxTg5yNU,Hydrizon is a water technology disruptor,"Mar 2, 2022",,,,5,0
FHp_hjxshIQ,Vesselless Cargo river to shore,"Jul 12, 2022",,,,8,0
FnNaKHi8HJI,Inside a bathtub attenuator,"Sep 22, 2022",,,,13,0
G2Rc6cLevTs,Vesselless Cargo: water jets in SketchUp,"Jun 3, 2022",,,,10,0
GTSM1Chztvo,Vesselless Cargo designed in SketchUp,"Sep 17, 2022",,,,4,0
G_-BMQM6x2w,Matching motors & holofans for holosurfing,"Oct 23, 2022",,,,3,0
GuyFJ_hzsP4,Wave power attenuator pot,"Dec 10, 2022",,,,3,0
H0omGNwmGwU,View looking through holo wave tank,"Jan 30, 2022",,,,27,0
H3qxzbEYC6Q,Wave House Design,"Feb 17, 2022",,,,1,0
H5-4xDapR3Q,Wave Energy Converter ideas for the kitchen,"Mar 18, 2022",,,,21,0
HUSy9e-j5pc,Bathroom wave energy,"Dec 2, 2022",,,,4,0
HXNeigSeyNc,Port to port Vesselless Cargo,"Jul 5, 2022",,,,2,0
HYrYry4_1KE,SolidWorks Water Jet Canal for Vesselless Cargo,"Jan 4, 2022",,,,11,0
I6iqOoQMUOk,Drones collecting items moved by Water Shaping,"Aug 4, 2022",,,,2,0
IdTsTmM2n4U,Design for surfing holowaves,"Apr 23, 2022",,,,3,0
Ih4mnfH2YOs,Blender Vesselless Cargo vs Shipped Cargo,"Jul 4, 2022",,,,2,0
IofBXJ1CsTw,Remote access preparation of fish tank for water shaping,"Aug 20, 2022",,,,3,0
IwINXrBAVRw,Vesselless Cargo from port to port,"Jul 6, 2022",,,,4,0
JrDpbHO8Os8,Vesselless Cargo moving in Blender,"Jul 24, 2022",,,,4,0
K3uil8JKARg,WECs in pots on stoves,"Dec 11, 2022",,,,9,0
K89U6peJ1Ec,"Basin, Bath, Sink & Tub OWCs","Nov 25, 2022",,,,6,0
K9jlL1MtLo4,Propeller array AutoCAD for Vesselless Cargo,"Nov 9, 2022",,,,13,0
Kez9dpP5VMI,Wave energy with fish tanks,"Dec 5, 2022",,,,4,0
KuiIKyFv0mU,Wave power attenuator in toilet cistern,"Dec 23, 2022",,,,5,0
LvUYKh_0Smo,Vesselless Cargo design in Blender,"Jun 7, 2022",,,,3,0
LzETjUG7NSU,Attenuator in surf wave pool,"May 16, 2022",,,,9,0
M5PzzuiMoN8,Synching holosurfing,"Feb 24, 2023",,,,16,0
MENI-RowM1k,Blender water simulation,"Apr 3, 2022",,,,1,0
MTsopMpztwE,SketchUp Vesselless Cargo Canal,"Feb 4, 2022",,,,7,0
N4Fizolbebs,2 islands Vesselless Cargo,"Sep 12, 2022",,,,4,0
Nj20Erw8dWA,Lets go holosurfing now,"Feb 27, 2023",,,,9,0
NpgGXc4azmo,Technology Readiness Blocks,"Mar 24, 2022",,,,6,0
NtZ9SMif1M4,Wave jets to wave power in SketchUp,"Nov 22, 2021",,,,15,0
Oa_-u74VP_M,Sensing Water in Sink with Arduino,"Oct 10, 2021",,,,15,0
Oc_eSO79KsE,Fish Tank Wave Energy,"Sep 30, 2022",,,,5,0
OsbT5logScg,Six designs of water using SketchUp,"Feb 4, 2022",,,,1,0
OzxfCZiM1mU,Vesselless Cargo canals,"Oct 15, 2022",,,,12,0
P4MOf8FIT2E,Technology development using NFTs,"Mar 26, 2022",,,,1,0
P4WQIcEesVA,Inverted pendulum and attenuators powering Vesselless Cargo,"Aug 27, 2022",,,,7,0
PWgOA7P7_iY,Holobath explainer,"Jun 6, 2022",,,,1,0
Pejyeseymo4,Bathroom WECs,"Nov 22, 2022",,,,165,0
QU82wTHvxzo,Holopool T-bar Tables projecting marine life with 3 holofans,"Oct 10, 2021",,,,1,0
QnN2bx3g0ao,SketchUp whirlpool,"Nov 6, 2022",,,,3,0
Qq0qhX8wvYs,Roblox wave power attenuator,"Dec 13, 2021",,,,2,0
RD8_Wl00jkM,Holosurfing dawn patrol,"Mar 5, 2023",,,,11,0
RQj-FoCk_x4,Wave Tunnel made with Blender,"Nov 14, 2021",,,,1,0
Rad6QGhupII,Holofan bathtub design in Blender,"Apr 4, 2022",,,,8,0
RgyyYEJwkRM,Inside the Technology Readiness Blocks,"Apr 15, 2022",,,,3,0
Rsa4nhdH1No,Outdoor living wave power attenuators,"Apr 29, 2023",,,,15,0
S98M_2n-wG8,SketchUp whirlpool maker,"Feb 6, 2022",,,,1,0
SBbbtSs9__w,"Dishwasher, fish tank & washing machine OWCs","Nov 27, 2022",,,,4,0
SPSq0J1sJT8,Digital Water Drone Wake,"Oct 10, 2021",,,,1,0
