Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
7SDou-hDI_c,Moving between sound scaffolds,"Apr 25, 2023",2,0.0025,0,47,2.13
7TtOqSjKuH4,Pyramids made of sound pyramids,"May 13, 2023",2,0.007,0,16,12.5
BVwtpooOhfQ,Sound cube table with sound cylinder chairs,"Aug 10, 2024",2,0.015,0,77,2.6
Eqf2jzO_-Rg,Switching between 7 sound object tools,"Aug 9, 2024",2,0.0065,0,31,6.45
HLMjLZZnVG8,Cubes on sound waves,"Dec 22, 2022",2,0.0053,0,20,5
LEuyhgynzeE,Sound Pyramid & Sound Cone Tunnels In 3D Speaker Array,"Jan 23, 2024",2,0.0058,0,27,7.41
QbnglX6qnZc,Star speaker array,"Jun 24, 2024",2,0.0054,0,58,3.45
Wdcle71L9UE,Sound object study switches to lounge room,"Aug 16, 2024",2,0.003,0,39,5.13
b-eMoMXfEYw,Falling sound cubes,"Jul 21, 2024",2,0.0053,0,18,11.11
eO_WMjnTMBM,Shovels switch to screwdrivers & grinders,"Aug 31, 2024",2,0.0019,0,60,3.33
eY96TdmbEIU,Sound cylinder shelves,"Aug 13, 2024",2,0.0051,0,97,2.06
f-8G1fHEkAQ,Four seater lounge made with sound objects,"Sep 2, 2024",2,0.0013,0,21,9.52
fq_gVNhvLsE,Wide base to narrow apex speaker rings,"Jul 8, 2024",2,0.0077,0,24,8.33
i24fHxDCwpo,Sound object workbench with top vices,"Sep 10, 2024",2,0.0061,0,22,4.55
iqLGXNTTNiE,"Sound cube, cylinder & hemisphere spade","Aug 3, 2024",2,0.0036,0,63,3.17
j8DcJMlttDw,Sound cube path through a sound sphere field,"Jul 17, 2024",2,0.0069,0,31,3.23
 -TNy_4h19mw,Sound object frames descending,"Jul 29, 2024",1,0.0042,0,50,2
 -pQYwDUKW6w,Sound object T shape to stepped hollow,"Jul 27, 2024",1,0.0043,0,28,0
1nsvj3X_ldI,3D speaker array lines of sound spheres,"Nov 21, 2023",1,0.0024,0,22,0
5sdFq1BQaoo,Sound spheres to sound cubes in a 3D speaker array,"Oct 17, 2023",1,0.0037,0,27,3.7
5yj1QksL1Q4,Sound object mountains,"Jul 23, 2024",1,0.0042,0,30,0
63uVc-22ByY,Sound object cube,"Apr 14, 2023",1,0.0019,0,11,9.09
90vn-KaFyEY,"Sound cone, cylinder & sphere nail","Aug 5, 2024",1,0.003,0,87,1.15
9GtQc9Q5SNw,Sound object scissors,"Sep 13, 2024",1,0.003,0,53,0
C3SiYYkq_HE,Making objects from sound,"Dec 16, 2022",1,0.0019,0,11,9.09
CMeX_xt9Qrw,Sound object press machine,"Aug 24, 2024",1,0.0044,0,55,1.82
CpRYcbPD1jk,Sound object workbench & saw,"Sep 8, 2024",1,0.0043,0,21,4.76
GZJauD-mXP8,Sound cube seat structure,"Oct 18, 2023",1,0.0037,0,17,0
HobzRMnuG9E,Sound pyramid tunnel,"Apr 27, 2023",1,0.0008,0,13,7.69
IfCtGeEIpeo,Sound pyramid island bench,"Aug 11, 2024",1,0.0008,0,108,0.93
KqObiv2DKTE,3D speaker array with sound objects emerging & vanishing,"Jul 25, 2023",1,0.0024,0,11,0
OH8ClE2NVio,2 joined speaker array rings,"Mar 17, 2024",1,0.0027,0,21,4.76
SnE6yFlGIQU,Sound bridge linking sound tunnels & pyramids,"Jul 23, 2023",1,0.0021,0,16,0
TsbPrkS4ZRY,Speaker switches direction,"Jul 19, 2024",1,0.0016,0,17,5.88
U3xnmiFMNDM,Sound sphere & sound cylinder tree,"Jul 22, 2024",1,0.0043,0,62,1.61
XOAYAmkbmro,3D Speaker Array Sound Cylinder Columns & Sound Pyramid Tops,"Nov 10, 2023",1,0.0031,0,34,2.94
YDf1HWC9hgs,Five seater lounge made with sound objects,"Sep 3, 2024",1,0.0044,0,28,3.57
ZtWXIRiMNBw,Sound object workbench with side vice,"Sep 9, 2024",1,0.0043,0,43,0
_D4cz4mpM6s,Inside a torus speaker array,"Feb 22, 2024",1,0.005,0,45,0
_ZfLJ9CoTyg,3D speaker array with alternating corner & middle side sound objects,"Nov 13, 2023",1,0.0016,0,12,8.33
bu1-WVAektM,Sound cube desk with sound sphere chair,"Aug 6, 2024",1,0.0042,0,71,1.41
diEy7Hf86tQ,"Sound pyramids, cylinders & cones in 3D speaker array","Oct 23, 2023",1,0.0014,0,15,6.67
dnTAWfQ87KA,Sound sphere couch,"Aug 12, 2024",1,0.0017,0,73,1.37
kJcloktqYWo,"Sound cylinder, cone & sphere screwdriver","Aug 7, 2024",1,0.0044,0,53,1.89
lTjB9oc_60w,Lounge switch,"Sep 6, 2024",1,0.0043,0,37,0
mXCPlpUdxnU,6 types of sound objects forming a tunnel,"Apr 11, 2023",1,0.003,0,19,5.26
oGVBo84w_FE,Sound object grinder,"Aug 23, 2024",1,0.0022,0,72,0
s3Ik9qVaZHo,Sound cube levels,"Jul 20, 2024",1,0.0044,0,18,5.56
sb3aF9vZSkM,Seven seater lounge made with sound objects,"Sep 4, 2024",1,0.0044,0,18,5.56
tR6JwL6YrzM,Sound object tweezers,"Sep 14, 2024",1,0.0019,0,18,5.56
vYkPgPuGwEI,Screwdrivers switch to hammers & nails,"Aug 30, 2024",1,0.0008,0,58,1.72
xIX3xMjZhuw,Sound object scalpel,"Sep 15, 2024",1,0.0006,0,35,2.86
