Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
9Z_hb8gWsvs,Multiple sound object scaffolds from above,"Apr 23, 2023",14,0.0468,0,0:00:12,259,4.25
9iDtB5ie6AM,3D Speaker Array Sound Pyramid Room,"Dec 24, 2023",306,2.6536,0,0:00:31,3415,3.28
BVwtpooOhfQ,Sound cube table with sound cylinder chairs,"Aug 10, 2024",141,0.5563,0,0:00:14,1144,4.72
Bfhu4CQj1yU,3D Speaker Array Sound Cubes Moving Up Diagonally,"Dec 7, 2023",5,0.0382,0,0:00:27,87,3.45
C3SiYYkq_HE,Making objects from sound,"Dec 16, 2022",14,0.0907,0,0:00:23,105,9.52
CGcraorwg1E,Six double ring speaker arrays,"Mar 22, 2024",45,0.1501,0,0:00:12,361,10.53
CJVCvPnZxUI,Surgical instrument switch,"Sep 17, 2024",73,0.291,0,0:00:14,860,3.49
CJm-3lbyE9E,"Switch between lathe, press, conveyor belt & milling machine","Sep 2, 2024",73,0.2818,0,0:00:13,1252,2.24
CMeX_xt9Qrw,Sound object press machine,"Aug 24, 2024",74,0.3062,0,0:00:14,834,3.36
CpRYcbPD1jk,Sound object workbench & saw,"Sep 8, 2024",195,0.6586,0,0:00:12,3085,3.11
D4qyFV3EHNg,Sound cube & cone towers' opposite moves,"Aug 22, 2024",156,0.8785,0,0:00:20,880,4.09
DkaHD0213kA,Little & big sound object toruses,"Mar 14, 2024",33,0.14,0,0:00:15,290,5.52
Eqf2jzO_-Rg,Switching between 7 sound object tools,"Aug 9, 2024",134,0.7544,0,0:00:20,1005,5.17
FtAx94Wp_58,Sound object conveyor belt,"Aug 27, 2024",81,0.287,0,0:00:12,2061,1.46
GQx8do28c5k,Sound pyramid towers in 4 corners,"Mar 26, 2024",59,0.3707,0,0:00:22,651,2.76
GZJauD-mXP8,Sound cube seat structure,"Oct 18, 2023",15,0.0476,0,0:00:11,328,2.74
HJVFf0tFB6A,Sound pyramid & cube saw,"Aug 8, 2024",95,0.3499,0,0:00:13,791,3.79
HLMjLZZnVG8,Cubes on sound waves,"Dec 22, 2022",11,0.0334,0,0:00:10,132,4.55
HobzRMnuG9E,Sound pyramid tunnel,"Apr 27, 2023",5,0.009,0,0:00:06,202,1.98
IG9dTCk_2Pc,Sound object perimeters meet in middle,"Oct 4, 2024",117,1.2738,0,0:00:39,36,2.78
IfCtGeEIpeo,Sound pyramid island bench,"Aug 11, 2024",135,0.5144,0,0:00:13,1229,4.31
JHgsPIJ4sQU,3D Speaker Array Sound Objects Moving Around Periphery,"Dec 3, 2023",10,0.2427,0,0:01:27,293,1.37
K417UrArnmc,Exterior & interior of sound object tunnel,"Apr 12, 2023",11,0.0859,0,0:00:28,191,3.14
KqObiv2DKTE,3D speaker array with sound objects emerging & vanishing,"Jul 25, 2023",2,0.0043,0,0:00:07,257,0.78
KwKIEiNnkn4,Varying sound object towers,"Oct 3, 2024",40,1.1125,0,0:01:40,289,3.81
LEuyhgynzeE,Sound Pyramid & Sound Cone Tunnels In 3D Speaker Array,"Jan 23, 2024",55,0.5678,0,0:00:37,381,4.99
MO-79VexGW8,Vertical circle of speaker array rings,"Mar 27, 2024",84,0.4376,0,0:00:18,471,13.38
MxlZ_T4YkEA,Sound object dice moves,"Sep 27, 2024",59,1.0727,0,0:01:05,497,4.83
N-idCBKuh54,Fly through sound cylinder columns and then sound sphere columns,"Dec 29, 2023",63,0.3751,0,0:00:21,935,3.53
N24o1v4T4I0,Wide sound cube towers,"Aug 21, 2024",241,2.6069,0,0:00:38,1240,7.74
OH8ClE2NVio,2 joined speaker array rings,"Mar 17, 2024",13,0.0438,0,0:00:12,237,4.22
OIX0BfZ6-CU,3D speaker array with 6 types of sound objects,"Nov 4, 2023",6,0.0782,0,0:00:46,93,4.3
PlCCKGzoYb4,Speaker array torus double stack,"Mar 9, 2024",34,0.1408,0,0:00:14,211,5.69
QGquD2nDWbE,Growing sound object plant             #plantgrowth #soundplant #soundgrowth #soundlife #musimorph,"Sep 22, 2024",537,2.787,0,0:00:18,267,4.49
QHYbSTdYj5g,Workbench switch,"Sep 11, 2024",56,0.2095,0,0:00:13,1123,1.51
QbnglX6qnZc,Star speaker array,"Jun 24, 2024",85,0.218,0,0:00:09,1236,5.18
QhW_qX6YzD4,Sound object workbench & drill,"Sep 8, 2024",106,0.366,0,0:00:12,2675,1.72
RCS4joPgGcc,Sound Pyramid Tunnel & Sound Hemisphere Room,"Feb 26, 2024",359,3.2927,0,0:00:33,3873,3.46
S-s9daDoXZs,"3D speaker array sound hemispheres, cubes & spheres","Oct 4, 2023",6,0.0398,0,0:00:23,293,1.71
SSArunbOWvo,Frame of a speaker array torus,"Mar 4, 2024",184,0.9144,0,0:00:17,1541,7.72
SnE6yFlGIQU,Sound bridge linking sound tunnels & pyramids,"Jul 23, 2023",44,0.3254,0,0:00:26,349,8.02
SoTZ5FnT2ZU,Sound Object Layers From Top To Bottom in 3D Speaker Array,"Jan 25, 2024",12,0.0345,0,0:00:10,134,5.97
T6ZJpKk4rvs,Sound object lathe,"Aug 26, 2024",46,0.2082,0,0:00:16,1043,1.34
TNliwUTt5g0,Sound objects in ring speaker array,"Feb 16, 2024",191,0.4521,0,0:00:08,1001,14.39
U3xnmiFMNDM,Sound sphere & sound cylinder tree,"Jul 22, 2024",239,1.9991,0,0:00:30,4945,1.21
U9mSsgur3bk,Sound object living room switches to dining room,"Aug 17, 2024",84,0.3413,0,0:00:14,803,4.23
VV3o-GPmIPE,Out to sound object balcony,"Aug 19, 2024",70,0.2503,0,0:00:12,282,8.51
WSLXcbKawoE,Sound Cone and Sound Pyramid Tunnel,"Feb 9, 2024",192,0.7806,0,0:00:14,961,8.74
Wdcle71L9UE,Sound object study switches to lounge room,"Aug 16, 2024",66,0.2631,0,0:00:14,336,5.65
WeLEkR274So,Sound object forceps,"Sep 16, 2024",125,0.4287,0,0:00:12,1777,4.28
WlvmzXLBx0E,Ten seater lounge made with sound objects,"Sep 5, 2024",67,0.2626,0,0:00:14,653,3.98
XFgDeo-3YtI,Sound object morphing corridor,"Jun 20, 2024",296,1.0314,0,0:00:12,1807,7.14
XOAYAmkbmro,3D Speaker Array Sound Cylinder Columns & Sound Pyramid Tops,"Nov 10, 2023",8,0.082,0,0:00:36,119,5.88
YDf1HWC9hgs,Five seater lounge made with sound objects,"Sep 3, 2024",82,0.3142,0,0:00:13,367,7.36
ZtWXIRiMNBw,Sound object workbench with side vice,"Sep 9, 2024",76,0.2839,0,0:00:13,1125,1.33
_15-hzuAYI4,6 rotating rings of speaker array rings,"Jun 13, 2024",43,0.1506,0,0:00:12,318,3.77
_D4cz4mpM6s,Inside a torus speaker array,"Feb 22, 2024",77,0.2571,0,0:00:12,639,7.04
